feature1,feature2,label
-1.231678,-0.735872,1
0.433640,2.336628,1
-0.583539,-1.010538,0
1.807498,2.623678,1
-2.510610,-2.612896,0
-1.815669,-3.047000,0
-0.654409,2.773560,1
0.042148,2.720549,1
-1.756650,-2.528290,0
0.012160,-0.683411,0
2.328367,-1.558836,1
1.854934,0.995006,1
-1.443379,-2.177936,1
0.200262,-0.441420,1
0.964178,-1.436410,1
-0.012611,-0.081703,1
2.914624,1.448136,0
2.738135,3.231270,1
-0.844319,-1.053959,1
0.586920,2.491685,1
-0.067538,-0.911680,1
3.310506,1.929734,1
-1.239355,-1.681392,0
-0.624622,-0.540141,0
-0.781158,-0.208007,0
1.683894,1.396239,1
0.258226,-1.171500,1
0.397382,3.721505,1
-1.321143,-2.315907,0
-1.016744,1.178110,0
0.972562,1.395997,1
1.974726,-0.317969,1
3.415199,1.596507,1
-0.338876,3.363061,1
0.086314,1.007043,1
0.715578,3.347126,1
1.932636,3.066387,1
-0.708427,1.945416,1
1.207088,2.641485,1
-1.393113,-0.080189,0
-2.023651,-1.165440,1
-1.509472,0.472682,1
0.336196,0.952197,1
1.069703,-0.926318,1
0.089863,1.510125,1
0.598677,-1.391535,1
0.190322,-0.135471,0
-0.520954,0.741059,1
-0.201304,4.170255,1
0.498369,1.193905,0
-0.729089,-0.136996,0
-2.281037,-1.947387,0
0.380667,-1.345665,0
-1.480836,1.279731,0
-1.698612,-1.707708,0
0.903592,2.062648,1
-0.412484,1.545318,1
-0.450736,-0.137204,0
2.055553,0.707360,1
-1.311343,-3.302103,0
-2.268193,-2.617968,0
2.252826,1.908517,1
-2.216143,0.216526,0
0.033321,-0.179890,0
0.248931,1.727702,1
-2.282050,-1.953586,1
-1.083027,-0.345098,0
-0.141832,-1.098992,1
-0.882067,2.022408,1
0.360036,0.139916,1
0.263014,3.588254,1
1.239682,3.055220,1
-0.726977,-1.042516,1
1.393179,2.782776,1
0.426513,-0.949675,1
1.033124,2.785656,0
2.684878,1.802418,1
0.076977,2.656941,1
-1.353795,0.212237,0
0.607325,-0.973208,1
0.505497,-0.029395,0
0.000541,0.029185,0
0.655117,0.303958,1
0.284886,0.450073,0
-0.376272,0.863405,1
-0.655934,-2.165692,0
-1.923892,-2.059991,0
-0.632304,0.872518,0
3.042382,2.470645,1
-0.838630,-2.233950,0
-1.127093,-1.041348,0
-1.251830,1.273611,0
-1.992690,-1.166819,0
-0.596538,-1.715798,0
1.592883,1.562011,1
1.562231,-1.660110,1
-2.648587,-2.438353,0
1.385826,-0.860355,1
-1.634516,-1.964676,0
-1.913157,1.691825,1
0.694123,-0.789806,1
0.937257,1.554373,1
-0.124511,0.998811,1
-1.546526,-0.849789,0
-1.115534,-1.383496,0
0.152952,0.004250,1
-1.184220,-0.999324,0
-0.920161,-2.805171,0
0.525173,3.054615,1
1.247863,2.066066,1
-0.354052,-0.394642,1
-0.770543,0.504019,0
1.138057,1.265435,1
3.659507,3.391021,1
2.156778,-0.139426,1
-0.863242,-1.492360,0
-1.341899,-1.103128,0
-0.228265,0.174417,1
0.199083,-2.545748,0
0.638778,0.502170,1
1.627549,-0.159221,1
-0.030861,-1.134758,0
-3.773112,-3.867079,0
2.086264,2.509665,1
0.883901,-1.653874,1
-0.385492,0.789723,0
-2.393366,-3.758483,0
0.331004,-0.511191,0
-0.813560,-1.133386,0
1.889312,2.607975,1
0.045196,-0.071402,1
0.702075,2.929025,1
1.317390,-0.295301,0
-1.407958,-1.501508,0
0.784586,-0.997288,0
1.496077,3.285872,0
-2.233326,-3.251677,0
-2.128197,-2.183069,0
0.234513,1.951919,1
-3.360207,-2.852711,0
-0.680119,-2.463793,0
2.004498,-0.090270,0
-0.780627,-1.294036,0
-2.430824,-3.254305,0
0.126759,0.964482,1
-2.797913,-0.427305,0
-2.148703,-4.720852,0
0.642750,-0.355958,1
-0.315221,0.932155,1
-0.228636,1.068414,1
-0.281508,-1.880867,0
4.397094,1.049663,1
-1.204053,-1.503666,0
-1.085407,-2.214419,0
-0.057656,-0.758716,0
-2.433525,-2.050050,0
2.329668,1.520529,1
-1.875529,-2.929518,0
-0.083705,1.163441,1
2.153847,2.519715,1
2.077776,-0.005311,1
1.285559,-1.467576,0
2.744359,4.373621,1
1.294042,2.067363,1
1.391794,2.847289,1
1.261863,2.550876,1
-0.534340,-2.550736,0
0.390645,2.229921,1
-0.973589,-2.904296,0
-0.479045,-1.330974,1
0.981496,1.689225,1
-3.241242,-3.953034,0
-1.996929,0.769284,1
0.909938,1.363383,1
0.444376,1.873216,1
-0.716163,0.675560,1
-0.618719,-0.704046,0
-1.965761,-1.924994,0
-3.288974,-3.988859,0
-1.282928,-1.540568,0
1.796726,2.450635,1
-1.202373,-1.526391,0
0.129571,-1.030655,0
-0.572155,-2.714107,0
1.257073,1.013384,0
-0.145459,3.264163,1
0.280187,2.596436,1
0.038820,-1.265833,0
0.519256,-0.014512,1
0.199584,0.263799,1
-0.820145,-1.943736,0
-1.982908,-2.768015,0
-0.046528,0.226598,0
-0.042724,1.836204,0
0.512894,0.063639,0
-0.521274,0.305197,0
0.624849,-0.958532,1
-0.523783,0.003068,0
2.464278,3.257115,1
-0.286534,-0.706322,0
1.104212,0.903565,1
-0.043172,0.512851,1
1.101465,-2.339599,0
0.645919,1.335702,1
-0.434756,-1.064511,0
-0.014788,-0.202580,1
-2.212166,-1.192765,0
-1.911876,-3.086952,0
0.448545,-0.016278,1
0.852352,1.688987,1
-0.973444,1.025078,1
0.529372,0.057719,0
-0.890527,0.721680,1
-2.141170,-1.836220,0
0.352235,2.597457,1
-0.437954,-1.370271,0
-0.970093,-0.975995,0
-0.204527,-0.453974,0
-0.865338,0.608769,1
2.325161,2.129956,1
1.704095,1.447574,1
-1.367772,-3.287771,0
0.212926,-0.347883,0
-1.304790,-1.380723,0
0.359008,-1.902821,0
2.394762,2.803228,1
0.596542,1.982645,1
-0.060254,2.276900,1
0.555023,-0.711137,0
-0.440793,1.649919,1
0.967694,1.773692,1
-0.657233,-0.737505,0
-0.961223,1.180820,1
-0.511440,-0.197173,1
-0.103269,1.644460,1
-0.295702,1.983588,1
1.833131,0.595725,1
-1.413993,-1.831918,0
-1.241861,-1.152286,0
-0.566228,-1.109707,0
-1.393966,0.054970,0
-1.936014,-2.157064,0
-0.101538,-1.367252,0
0.151679,0.939680,1
2.951933,4.847754,1
-0.791298,-1.037268,0
-0.274599,-1.329066,0
0.930154,1.129495,1
-0.914783,-1.323891,0
-2.786448,-2.183541,0
0.567050,-0.268756,0
-1.127909,-2.129704,0
-1.165843,-1.061495,0
2.793322,0.822480,1
-0.620789,-1.364988,0
1.775795,3.838218,1
0.697618,2.096175,1
-0.906146,-1.086157,0
-1.121835,-2.657395,0
-0.577304,-1.848479,0
-2.487240,-3.309639,0
2.673935,1.429782,1
-0.593744,-0.058764,0
-0.900803,-0.831256,1
3.304211,3.975263,1
-1.178723,-1.609332,0
-1.663938,-1.911414,0
1.754372,0.584341,1
-1.913212,0.919824,1
-1.463283,-1.845680,0
0.383450,1.651169,1
0.994910,-0.399359,0
-0.491050,-3.745718,0
0.534688,0.253815,1
-1.281488,-2.958974,0
-0.014369,1.163992,1
0.048962,0.865955,0
0.180301,3.133522,1
-2.294495,-4.114530,0
-2.821534,-3.563474,0
-0.892780,-1.040627,0
0.102133,-0.338829,0
-0.362265,0.771442,1
-0.432370,-1.153647,0
-0.565709,-1.339127,0
-1.203021,-1.539467,0
-0.981516,2.042460,1
1.404272,1.902655,1
-0.008095,-0.247858,0
0.402632,1.936683,1
1.669189,1.580487,1
-1.757025,0.301514,1
-0.372436,-0.446151,0
0.372015,-2.148924,1
-0.552769,-1.504899,0
-1.327517,-1.046151,0
2.586081,-1.021245,0
-0.137819,-0.946211,0
-0.351870,-1.593454,0
1.097185,0.653085,1
-2.822711,-4.092654,0
-0.416805,1.402377,1
0.201934,0.729177,1
1.238347,0.828737,1
1.130905,2.697763,1
-0.156995,-1.412665,0
-1.335665,-1.827907,0
-0.424879,1.168315,0
1.561430,2.027057,1
0.351828,1.577199,1
1.594394,2.352039,1
-1.179851,1.277996,1
1.032475,0.830076,1
2.120969,2.472272,0
2.319037,1.927900,1
-0.457972,-0.097576,0
-2.003343,-1.443845,0
2.068396,3.574487,1
-2.433593,-0.740037,1
-1.795318,-3.645989,0
-1.748717,-0.581280,0
0.202848,-1.256847,1
-0.990743,-0.301710,1
0.254021,1.544091,1
-0.743083,0.086525,0
-0.553057,-0.860526,0
-0.980470,0.330976,1
0.438540,1.710050,1
2.962554,0.279642,1
0.574886,0.092923,1
0.407592,0.935239,1
0.102969,-0.178937,0
-0.758339,-0.287739,1
-1.241237,-1.309957,0
1.939470,2.757147,1
-0.544807,-1.728014,0
-1.202518,0.392765,1
-2.240861,-2.956913,0
-0.602801,-1.743607,0
-0.813445,-2.485178,0
-0.378692,-0.629131,0
-1.185258,0.844526,1
0.629337,-1.605443,0
-1.345462,2.505739,1
0.736635,0.231565,0
-0.790176,-0.839953,0
-1.099389,0.762532,0
1.578553,3.607586,1
1.989675,0.268572,1
1.228565,1.848519,1
-2.005020,-0.863698,0
-0.886258,-2.434022,0
-0.621396,-1.175737,0
-2.923762,-3.228446,0
0.703423,1.240554,0
0.602070,-1.281574,0
2.536620,1.811021,1
1.010825,-0.593320,1
0.203218,2.085827,1
-2.909620,-2.948722,0
1.103648,0.878033,1
-2.020341,-1.809011,0
0.382166,-0.277145,0
-1.103664,-1.311945,0
0.223834,0.722867,1
2.122852,3.175695,1
0.846055,-0.377684,0
0.106187,-2.276522,0
-0.768823,2.629014,1
0.974046,0.888811,1
0.627097,-0.655311,1
0.663737,0.208020,1
1.368637,3.477702,1
-0.334154,0.034770,0
0.574928,1.367677,1
1.999116,1.696699,1
-0.791412,-0.748461,0
0.446632,2.592749,1
-0.241513,-0.910143,0
-0.816097,-2.722703,0
-1.291514,0.352096,0
-3.170336,-4.752553,0
3.764342,1.187441,1
-1.804233,-3.204793,0
1.353565,2.042572,1
0.431187,3.580238,1
-0.886289,0.256809,0
1.245863,1.252693,1
0.112734,3.034110,1
1.799068,0.022431,1
1.590656,-0.255050,1
-1.585132,-0.571741,0
0.931902,1.819227,1
0.154140,-0.695138,0
-2.228455,-3.329258,0
-0.452385,2.061130,1
-0.713485,-0.737408,0
1.472442,1.474416,1
1.775659,-0.001258,1
1.336438,1.131027,1
-3.684427,-3.447971,0
0.196098,2.909781,1
0.580304,0.618979,1
-1.711221,-2.559702,0
-0.056293,1.640140,1
3.848909,5.088487,1
-0.636004,0.929731,0
0.184693,0.856419,1
1.287357,0.113543,1
-3.044049,-2.624235,0
0.798179,-0.198109,1
-1.889377,-0.920996,0
0.521791,-0.898949,1
-3.902040,-4.650008,0
0.730325,2.113455,1
-0.590107,0.564782,1
0.792816,-0.653515,1
-3.097687,-2.867984,0
-0.610008,-3.426794,0
1.174794,1.134236,0
0.015512,-0.484935,0
-0.629542,1.007437,1
0.834078,2.598383,1
-2.776174,-1.102409,0
0.444388,-1.050456,1
-0.494911,0.618521,0
-2.608481,-1.088040,0
-1.667702,-2.938449,0
-1.477489,-0.183723,0
-1.450609,-1.891512,0
0.865790,-3.829899,0
1.802156,2.703602,1
-3.009274,-4.151826,0
-0.573600,-1.072774,1
-2.843846,-4.781973,0
-1.004513,-1.204900,0
0.028782,0.600290,1
-0.688112,-2.396419,0
0.155278,0.447793,0
-0.902304,-0.945529,0
-1.653679,-1.459473,0
-1.629227,0.862973,1
1.350075,2.870611,1
1.685591,2.594974,1
1.623524,1.782189,1
3.690936,4.619090,1
-1.390066,-1.661567,0
2.595016,3.687329,1
1.168761,1.188073,1
-0.263922,-2.121586,0
2.987578,1.802380,1
0.901608,3.498240,1
-0.402709,-2.391446,0
-0.650259,1.467757,1
-0.085304,-1.261599,0
-1.293208,-0.657481,0
0.823562,-0.405638,0
0.644797,0.826726,0
-3.291672,-3.777346,0
0.594470,-0.321156,1
-4.457435,-3.578369,0
-1.322594,-0.128550,1
0.130149,1.512179,1
-0.560062,1.972765,1
-0.742001,0.320910,1
2.099204,2.093545,1
0.299567,1.635272,1
-0.173049,0.215326,1
1.566432,1.846273,1
-0.598872,0.906572,1
0.773731,0.541130,1
1.242202,0.874653,0
-1.194333,-0.721493,0
-2.142094,-1.940524,0
1.104750,0.972054,1
0.870843,1.700932,1
-1.252535,-2.470383,0
1.680299,2.794478,1
-0.311080,0.254858,0
3.220552,4.948925,1
-1.386323,-4.003853,0
1.372052,-0.183820,1
-1.646649,0.911373,0
-2.099655,-2.945345,0
0.087271,-0.028049,1
-0.404721,-0.108310,0
-0.590125,0.825882,0
-0.672188,-2.298652,0
-2.437283,-2.851970,0
2.371241,-1.738695,1
0.790955,0.881264,1
0.064302,1.730571,0
0.540795,2.217150,1
0.240537,-0.530747,1
-1.661632,0.647321,1
0.649161,2.355725,1
-2.232517,-1.770893,0
-1.230171,0.340467,0
-0.386355,1.296505,1
1.177993,2.284185,1
0.029530,0.600444,1
-0.523107,-1.747408,0
1.025628,3.511878,1
0.962608,1.324261,1
2.327546,2.324019,1
-1.899644,-1.738009,0
-0.336860,0.934995,1
3.575128,3.972830,1
0.144667,1.610655,0
-0.098009,-1.449675,0
0.341078,4.155927,1
1.366169,-1.028001,1
-0.261229,-0.595140,0
-0.746592,-1.577231,0
1.174524,2.544007,1
1.440381,1.731608,1
1.307850,1.752744,1
-0.789448,-2.062484,0
0.254805,1.138372,1
0.639329,0.953185,1
0.217888,-0.281581,0
-1.938997,-0.850990,0
-0.254261,0.338301,0
-0.241886,-0.657807,0
-1.914054,-3.291287,0
-1.763376,-3.610048,0
-0.195289,-0.173383,0
0.355874,1.462726,1
0.913474,0.695941,0
-0.862899,-1.904988,0
-1.090362,-3.073804,0
0.894440,2.638981,1
2.231004,-0.093866,1
-1.716252,0.326610,1
2.417448,0.693549,1
-0.560896,-0.115567,0
-2.041047,-1.410042,1
2.086238,2.739451,1
-0.585557,-2.063166,0
1.022135,-1.004028,0
-1.629544,-0.287237,1
2.065367,1.932304,1
0.756997,2.372584,1
1.954745,0.147811,1
2.129415,1.093041,1
-2.600211,-1.668205,0
1.174437,-0.835052,0
1.697224,2.508044,1
0.702941,-1.013576,0
2.366074,3.422884,1
1.062148,2.137398,1
1.467705,1.227632,1
0.947632,2.404028,1
-1.921845,-0.914531,0
-0.079890,-0.714464,1
-0.043416,-0.244426,0
-1.057304,-3.622356,0
-0.617462,1.074092,0
0.616999,0.706341,1
-0.917706,1.478443,1
-0.378281,-1.413841,0
1.774457,0.977584,1
1.251521,-0.809561,1
-1.382391,-2.009929,0
-1.609324,-1.360556,0
-1.892046,-2.992454,0
-0.057459,1.591945,1
-0.482750,-1.943052,0
-0.465694,0.221440,0
2.260417,2.027186,1
-3.458456,-2.730048,0
1.642926,0.239998,1
-2.919444,-2.369110,0
1.654164,-0.942465,0
-1.024104,-1.484552,0
-0.528456,-0.060020,0
-0.565363,-2.679556,0
-0.051780,-0.092631,0
-1.524706,-0.839452,0
0.292077,2.538618,1
1.738280,2.426139,1
1.480779,1.490558,1
-0.151332,0.659798,1
-0.523310,-2.016173,0
0.520563,1.812617,1
0.676852,0.084307,1
1.192503,1.458827,1
1.426789,1.412130,1
